dx,dy,dz,eye
0.757384,0.642589,-0.115968,left
0.692207,0.718405,-0.068869,left
0.697616,0.696767,-0.166875,left
0.686030,0.676131,-0.268719,left
0.622323,0.718547,-0.310489,left
0.679294,0.644803,-0.350414,left
0.607620,0.682242,-0.406626,left
0.651612,0.617628,-0.440383,left
0.580506,0.653758,-0.485401,left
0.645721,0.570548,-0.507463,left
0.564491,0.599703,-0.567192,left
0.617521,0.525989,-0.584811,left
0.569989,0.490281,-0.659346,left
0.519423,0.557733,-0.647405,left
0.469444,0.503790,-0.725133,left
0.504495,0.429681,-0.748905,left
0.402356,0.433271,-0.806465,left
0.360967,0.329646,-0.872374,left
0.312804,0.417941,-0.852924,left
0.362935,0.500488,-0.785996,left
0.428996,0.574868,-0.696770,left
0.459124,0.630118,-0.626224,left
0.490889,0.682133,-0.541962,left
0.518313,0.716269,-0.467237,left
0.530412,0.761729,-0.372065,left
0.556034,0.781166,-0.283911,left
0.545570,0.817660,-0.183809,left
0.624058,0.768511,-0.141216,left
0.550317,0.827842,-0.108759,left
0.640018,0.767413,-0.038137,left
0.490275,0.869660,-0.057637,left
0.385356,0.915480,-0.115745,left
0.469642,0.870136,-0.149330,left
0.464880,0.851173,-0.243702,left
0.379059,0.901662,-0.208134,left
0.375677,0.875993,-0.302496,left
0.452476,0.821911,-0.346016,left
0.351635,0.849925,-0.392403,left
0.444736,0.784099,-0.432896,left
0.345812,0.810483,-0.472790,left
0.316522,0.759374,-0.568475,left
0.394562,0.696102,-0.599802,left
0.274005,0.717281,-0.640648,left
0.364475,0.638430,-0.677913,left
0.248037,0.640103,-0.727149,left
0.300821,0.574931,-0.760895,left
0.253628,0.486186,-0.836239,left
0.198597,0.407906,-0.891163,left
0.143244,0.467884,-0.872104,left
0.187707,0.567042,-0.802016,left
0.154591,0.696739,-0.700469,left
0.194221,0.771930,-0.605311,left
0.235151,0.822397,-0.518042,left
0.244571,0.868609,-0.430933,left
0.169416,0.897984,-0.406108,left
0.174468,0.934542,-0.310147,left
0.262787,0.900354,-0.346852,left
0.287372,0.923731,-0.253254,left
0.194538,0.956421,-0.217747,left
0.286508,0.941992,-0.174827,left
0.192453,0.972147,-0.133762,left
0.290014,0.953511,-0.081905,left
0.324462,0.467207,0.822461,left
0.981302,0.192050,-0.012765,left
0.961432,0.274597,0.015626,left
0.903721,0.427901,-0.013729,left
0.862449,0.505807,0.018460,left
0.748664,0.662757,-0.015987,left
0.702978,0.710903,0.020975,left
0.554440,0.832224,0.000419,left
0.403503,0.914749,-0.020504,left
0.198443,0.979079,-0.045002,left
0.101610,0.990247,-0.095321,left
0.101036,0.979005,-0.177031,left
0.082867,0.958827,-0.271633,left
0.058338,0.927003,-0.370490,left
0.055370,0.897531,-0.437460,left
0.152535,0.867521,-0.473434,left
0.020415,0.021460,-0.999561,left
-0.008416,0.059602,-0.998187,left
0.053039,0.106949,-0.992849,left
0.168475,0.115465,-0.978920,left
0.105882,0.193265,-0.975417,left
0.000765,0.176343,-0.984329,left
0.052653,0.269685,-0.961508,left
0.142758,0.295251,-0.944694,left
0.198178,0.225005,-0.953991,left
0.253196,0.140877,-0.957103,left
0.351944,0.151210,-0.923727,left
0.297499,0.233073,-0.925836,left
0.251255,0.324444,-0.911925,left
0.413105,0.246180,-0.876778,left
0.467505,0.155643,-0.870181,left
0.557136,0.161346,-0.814596,left
0.314687,0.948986,0.019938,left
0.385954,0.919114,0.079181,left
0.472230,0.880626,0.038690,left
0.455994,0.880517,0.129457,left
0.548154,0.831023,0.094485,left
0.626978,0.777097,0.054941,left
0.623238,0.766497,0.155105,left
0.687903,0.715135,0.123985,left
0.751735,0.653919,0.085346,left
0.801981,0.595076,0.052063,left
0.807240,0.573173,0.140842,left
0.851868,0.512763,0.106748,left
0.884548,0.438673,0.158561,left
0.896065,0.437256,0.076644,left
0.932177,0.359821,0.039696,left
0.922446,0.366241,0.122316,left
0.954801,0.283119,0.090543,left
0.977502,0.202222,0.059965,left
0.966199,0.201053,0.161359,left
0.941425,0.282976,0.183423,left
0.923104,0.260971,0.282442,left
0.953271,0.184982,0.238866,left
0.928526,0.166723,0.331726,left
0.906211,0.359551,0.222495,left
0.888747,0.336807,0.310951,left
0.871647,0.417691,0.256448,left
0.835833,0.512062,0.197929,left
0.819841,0.487770,0.299902,left
0.788206,0.567679,0.237638,left
0.733093,0.619044,0.281708,left
0.743539,0.642116,0.186645,left
0.684821,0.700145,0.202033,left
0.648068,0.688382,0.325788,left
0.600681,0.753983,0.265880,left
0.535540,0.820333,0.200625,left
0.508677,0.802978,0.310603,left
0.430411,0.867971,0.247737,left
0.362238,0.916163,0.171549,left
0.344927,0.893659,0.287052,left
0.269714,0.939666,0.210434,left
0.230034,0.915527,0.329992,left
0.160566,0.954199,0.252436,left
0.060241,0.978433,0.197587,left
0.046024,0.954016,0.296202,left
-0.058888,0.970415,0.234150,left
-0.094662,0.937864,0.333841,left
-0.172128,0.945012,0.278072,left
-0.264837,0.936435,0.230112,left
-0.284229,0.909732,0.302657,left
-0.300522,0.867764,0.395819,left
-0.201186,0.902729,0.380268,left
-0.222022,0.857511,0.464092,left
-0.111935,0.891057,0.439874,left
-0.001111,0.914039,0.405625,left
0.099165,0.876029,0.471952,left
0.118113,0.921206,0.370713,left
0.209190,0.876643,0.433286,left
0.316987,0.863741,0.391753,left
0.275992,0.826326,0.490932,left
0.398743,0.797783,0.452268,left
0.421874,0.830920,0.362761,left
0.489241,0.777531,0.395081,left
0.560727,0.742577,0.366285,left
0.549751,0.699361,0.456802,left
0.622799,0.659823,0.420423,left
0.696485,0.611834,0.374924,left
0.664006,0.567946,0.486347,left
0.734749,0.524063,0.430699,left
0.791927,0.464606,0.396223,left
0.760557,0.424758,0.491054,left
0.846214,0.399875,0.352166,left
0.819080,0.354987,0.450657,left
0.865369,0.298277,0.402701,left
0.828602,0.286366,0.481054,left
0.866005,0.226288,0.445903,left
0.903376,0.234021,0.359370,left
0.905717,0.155584,0.394297,left
0.056892,0.823029,0.565143,left
0.121909,0.772497,0.623207,left
0.167681,0.830804,0.530705,left
0.231609,0.774775,0.588287,left
0.352530,0.760236,0.545677,left
0.456640,0.734041,0.502656,left
0.402503,0.682801,0.609733,left
0.498717,0.657366,0.564936,left
0.589265,0.618976,0.519265,left
0.540734,0.572601,0.616227,left
0.621134,0.536594,0.571191,left
0.689767,0.484620,0.537926,left
0.644539,0.454482,0.614829,left
0.694504,0.420949,0.583494,left
0.766899,0.356758,0.533469,left
0.715568,0.319181,0.621358,left
0.773427,0.252363,0.581484,left
0.827330,0.192022,0.527875,left
0.775500,0.164627,0.609506,left
0.716086,0.149525,0.681808,left
0.719804,0.229656,0.655088,left
0.671254,0.187548,0.717108,left
0.609406,0.236653,0.756717,left
0.667249,0.274232,0.692514,left
0.654911,0.354818,0.667230,left
0.605280,0.306546,0.734620,left
0.589322,0.397587,0.703295,left
0.516057,0.423087,0.744770,left
0.569666,0.488314,0.661083,left
0.474360,0.522125,0.708779,left
0.452043,0.602286,0.657958,left
0.372929,0.550460,0.746938,left
0.341055,0.626654,0.700704,left
0.288116,0.700674,0.652721,left
0.230460,0.631751,0.740121,left
0.190401,0.704336,0.683856,left
0.067036,0.707551,0.703475,left
0.021825,0.756954,0.653104,left
-0.017506,0.685170,0.728172,left
-0.064578,0.734850,0.675149,left
-0.112730,0.655713,0.746547,left
-0.185624,0.692396,0.697232,left
-0.066375,0.609107,0.790305,left
-0.184442,0.566620,0.803071,left
-0.135417,0.512116,0.848174,left
0.000536,0.547442,0.836844,left
0.031241,0.632974,0.773543,left
0.092261,0.553592,0.827662,left
0.186343,0.555893,0.810098,left
0.278837,0.559443,0.780560,left
0.223492,0.483741,0.846195,left
0.334143,0.396999,0.854834,left
0.410810,0.456131,0.789418,left
0.438915,0.367184,0.820079,left
0.531165,0.349870,0.771657,left
0.455766,0.290246,0.841448,left
0.536576,0.268462,0.800009,left
0.464636,0.209673,0.860320,left
0.545748,0.181465,0.818064,left
0.609600,0.143628,0.779589,left
0.469710,0.106881,0.876327,left
0.400409,0.133535,0.906555,left
0.378259,0.213756,0.900682,left
0.292386,0.222421,0.930075,left
0.368413,0.305854,0.877910,left
